invocation_id,run_id,source_family,batch,agent,model,mode,benchmark,role,tool,is_bash,primary_category,categories,exit_code,status,workdir,description,inner_command,raw_command,source_path,source_line,source_format,extractor_version,exit_bucket,command_hash,command_length,category_count
11,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"sed -n '800,1600p' audit/vault/src/Vault.sol","sed -n '800,1600p' audit/vault/src/Vault.sol",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,22,traj-action,stable_schema,zero,0fabee66b890037c,44,1
12,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"sed -n '1,400p' audit/twab-controller/src/TwabController.sol","sed -n '1,400p' audit/twab-controller/src/TwabController.sol",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,24,traj-action,stable_schema,zero,8da27401777e1ad7,60,1
13,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation|shell_output_logging|shell_control_flow,0,completed,,,"ls -la && pwd && echo '--- README.md ---' && sed -n '1,200p' audit/README.md || true && echo '--- audit tree ---' && find audit -maxdepth 2 -type f -print -exec sed -n '1,200p' {} \;","ls -la && pwd && echo '--- README.md ---' && sed -n '1,200p' audit/README.md || true && echo '--- audit tree ---' && find audit -maxdepth 2 -type f -print -exec sed -n '1,200p' {} \;",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d/logs/yudai-minisweagent.traj.json,2,traj-action,stable_schema,zero,0f709f6594652e0a,182,3
14,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"find audit -name '*.sol' -print -maxdepth 5 -type f -exec sed -n '1,240p' {} \;","find audit -name '*.sol' -print -maxdepth 5 -type f -exec sed -n '1,240p' {} \;",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d/logs/yudai-minisweagent.traj.json,4,traj-action,stable_schema,zero,0e48f1a57e4fbcfd,79,1
15,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"sed -n '1,240p' audit/prize-pool/src/PrizePool.sol","sed -n '1,240p' audit/prize-pool/src/PrizePool.sol",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d/logs/yudai-minisweagent.traj.json,6,traj-action,stable_schema,zero,86af9047fe36db4e,50,1
16,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"sed -n '240,480p' audit/prize-pool/src/PrizePool.sol","sed -n '240,480p' audit/prize-pool/src/PrizePool.sol",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d/logs/yudai-minisweagent.traj.json,8,traj-action,stable_schema,zero,a7cc43c5b275469c,52,1
17,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"sed -n '480,960p' audit/prize-pool/src/PrizePool.sol","sed -n '480,960p' audit/prize-pool/src/PrizePool.sol",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d/logs/yudai-minisweagent.traj.json,10,traj-action,stable_schema,zero,3f0e47e6fef05202,52,1
18,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"sed -n '960,1920p' audit/prize-pool/src/PrizePool.sol","sed -n '960,1920p' audit/prize-pool/src/PrizePool.sol",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d/logs/yudai-minisweagent.traj.json,12,traj-action,stable_schema,zero,beb237f6a7a22e33,53,1
19,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,find audit -type f -name '*.sol' -print,find audit -type f -name '*.sol' -print,evmBench-frontier-evals/project/evmbench/runs/2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d/logs/yudai-minisweagent.traj.json,14,traj-action,stable_schema,zero,bbbd2f359047210d,39,1
20,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"sed -n '1,240p' audit/prize-pool/src/abstract/TieredLiquidityDistributor.sol","sed -n '1,240p' audit/prize-pool/src/abstract/TieredLiquidityDistributor.sol",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d/logs/yudai-minisweagent.traj.json,16,traj-action,stable_schema,zero,8e45a9b7846ed966,76,1
21,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"sed -n '240,540p' audit/prize-pool/src/abstract/TieredLiquidityDistributor.sol","sed -n '240,540p' audit/prize-pool/src/abstract/TieredLiquidityDistributor.sol",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d/logs/yudai-minisweagent.traj.json,18,traj-action,stable_schema,zero,3cc27f3152bb6d1d,78,1
22,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"sed -n '540,960p' audit/prize-pool/src/abstract/TieredLiquidityDistributor.sol","sed -n '540,960p' audit/prize-pool/src/abstract/TieredLiquidityDistributor.sol",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d/logs/yudai-minisweagent.traj.json,20,traj-action,stable_schema,zero,df65c3c62210342e,78,1
23,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,text_search,text_search|shell_control_flow,0,completed,,,"grep -n ""_accountedBalance"" -R audit || true","grep -n ""_accountedBalance"" -R audit || true",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d/logs/yudai-minisweagent.traj.json,22,traj-action,stable_schema,zero,49dfdde7c982029d,44,2
24,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"sed -n '720,860p' audit/prize-pool/src/PrizePool.sol","sed -n '720,860p' audit/prize-pool/src/PrizePool.sol",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T16-03-00-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8994bc8e-e8b6-4ac6-857b-3e872076db8d/logs/yudai-minisweagent.traj.json,24,traj-action,stable_schema,zero,89cedc6f1fc6de62,52,1
